iter	Accuracy	Logloss
373	0.9417613636	0.1631547055
374	0.9421836609	0.1625781772
375	0.9422988329	0.1624441344
376	0.9424907862	0.162053724
377	0.9425291769	0.1619384046
378	0.9426827396	0.1618560057
379	0.9426059582	0.1615781636
380	0.9429130835	0.1612574763
381	0.9431434275	0.1609022374
382	0.9431434275	0.1607663371
383	0.9431434275	0.1605570308
384	0.9434505528	0.1603819992
385	0.9433737715	0.1602211167
386	0.9435273342	0.1601346542
387	0.9436041155	0.1598684794
388	0.9436041155	0.1597443347
389	0.9436425061	0.1596073212
390	0.9436425061	0.1594996497
391	0.9439880221	0.1591154051
392	0.9439880221	0.1588937993
393	0.9444103194	0.1583201832
394	0.9446022727	0.158031835
395	0.9446022727	0.1580120625
396	0.9445638821	0.1575045149
397	0.9445638821	0.1572365391
398	0.9445638821	0.1571039031
399	0.9446406634	0.1570061975
400	0.9446406634	0.1569114692
401	0.9447558354	0.1567137632
402	0.944794226	0.1566091691
403	0.9447558354	0.1565152563
404	0.944909398	0.1564023624
405	0.9452165233	0.1561451507
406	0.9451781327	0.1560327495
407	0.9450629607	0.1558598467
408	0.945370086	0.1556388132
409	0.9454084767	0.1553975634
410	0.945485258	0.1552986572
411	0.945715602	0.1550897012
412	0.945830774	0.1549588418
413	0.9459843366	0.1546355126
414	0.9460227273	0.1545408823
415	0.9462530713	0.1542206932
416	0.9463682432	0.1539935067
417	0.9463682432	0.1539564564
418	0.9462914619	0.153739327
419	0.9466753686	0.153558428
420	0.9467521499	0.1535330696
421	0.9469057125	0.1529177337
422	0.9472512285	0.1525765052
423	0.9472512285	0.1522984398
424	0.9475583538	0.1520108205
425	0.9475967445	0.1520027082
426	0.9477119165	0.1518565348
427	0.9476735258	0.1517587577
428	0.9477886978	0.1517123427
429	0.9479422604	0.151453392
430	0.9481726044	0.1511313323
431	0.9482877764	0.1509532463
432	0.9484029484	0.1507946585
433	0.9484797297	0.1505642512
434	0.9484797297	0.1504372303
435	0.9484413391	0.1503926334
436	0.9485181204	0.1502918891
437	0.9485565111	0.1501932056
438	0.9485949017	0.1500760364
439	0.9487100737	0.149826613
440	0.9487100737	0.1496184698
